age,height_rounded,weight_rounded,veges_freq,main_meals_num,daily_water_consumption,physical_activity_freq,tech_devices_usage,high_kcal_food,transport_used,snacks_consuming,smoking,kcal_monitoring,alcohol_consumption,gender,bmi
21,1.62,64.0,Sometimes,Three,1-2L,0 days,3-5h,no,Public_Transportation,Sometimes,no,no,no,Female,19.753086419753085
21,1.52,56.0,Always,Three,>2L,2-4 days,0-2h,no,Public_Transportation,Sometimes,yes,yes,Sometimes,Female,18.42105263157895
23,1.8,77.0,Sometimes,Three,1-2L,4-5 days,3-5h,no,Public_Transportation,Sometimes,no,no,Frequently,Male,21.38888888888889
27,1.8,87.0,Always,Three,1-2L,4-5 days,0-2h,no,Walking,Sometimes,no,no,Frequently,Male,24.166666666666664
22,1.78,89.8,Sometimes,One/Two,1-2L,0 days,0-2h,no,Public_Transportation,Sometimes,no,no,Sometimes,Male,25.224719101123593
29,1.62,53.0,Sometimes,Three,1-2L,0 days,0-2h,yes,Automobile,Sometimes,no,no,Sometimes,Male,16.358024691358022
23,1.5,55.0,Always,Three,1-2L,1-2 days,0-2h,yes,Motorbike,Sometimes,no,no,Sometimes,Female,18.333333333333332
22,1.64,53.0,Sometimes,Three,1-2L,2-4 days,0-2h,no,Public_Transportation,Sometimes,no,no,Sometimes,Male,16.158536585365855
24,1.78,64.0,Always,Three,1-2L,1-2 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Frequently,Male,17.97752808988764
22,1.72,68.0,Sometimes,Three,1-2L,1-2 days,3-5h,yes,Public_Transportation,Sometimes,no,no,no,Male,19.767441860465116
26,1.85,105.0,Always,Three,>2L,4-5 days,>5h,yes,Public_Transportation,Frequently,no,no,Sometimes,Male,28.378378378378375
21,1.72,80.0,Sometimes,Three,1-2L,4-5 days,3-5h,yes,Public_Transportation,Frequently,no,yes,Sometimes,Female,23.25581395348837
22,1.65,56.0,Always,Three,>2L,4-5 days,0-2h,no,Public_Transportation,Sometimes,no,no,Sometimes,Male,16.96969696969697
